id	invoice_no 	date	user_id	location_id	customer_id 	additional_fee	discount	total	payment	change	payment_type	status	posted_at	posted_by	voided_at	voided_by	created_at	updated_at
1423	2023/3.1433-30	16/03/2023			131		270000	1080000	1080000	0		posted						
1424	2023/3.1434-30	16/03/2023			39	110000		300000	300000	0		posted						
1425	2023/3.1435-30	16/03/2023			131			200000	200000	0		posted						
1426	2023/3.1436-30	30/03/2023			754	50000	345000	5735000	5735000	0		posted						
1427	2023/3.1437-30	18/03/2023			131	20000	5000	930000	930000	0		posted						
1428	2023/3.1438-30	20/03/2023			131		40000	880000	880000	0		posted						
1429	2023/3.1439-30	30/03/2023			131		120000	1300000	1300000	0		posted						
1430	2023/3.1440-30	21/03/2023			131		105000	2030000	2030000	0		posted						
1431	2023/3.1441-30	21/03/2023			755		120000	3780000	3780000	0		posted						
1432	2023/3.1442-30	22/03/2023			131		5000	110000	110000	0		posted						
1433	2023/3.1443-30	23/03/2023			756			1200000	1200000	0		posted						
1434	2023/3.1444-30	23/03/2023			131		75000	750000	750000	0		posted						
1435	2023/3.1445-30	23/03/2023			131		60000	295000	295000	0		posted						
1436	2023/3.1446-30	24/03/2023			131		10000	220000	220000	0		posted						
1437	2023/3.1447-30	25/03/2023			72		200000	1100000	1100000	0		posted						
1438	2023/3.1448-30	25/03/2023			757	70000	80000	2570000	2570000	0		posted						
1439	2023/3.1449-30	25/03/2023			756	75000		1575000	1575000	0		posted						
1440	2023/3.1450-30	25/03/2023			131			1390000	1390000	0		posted						
1441	2023/3.1451-30	27/03/2023			131		10000	220000	220000	0		posted						
1442	2023/3.1452-30	30/03/2023			131	80000		1000000	1000000	0		posted						
1443	2023/3.1453-30	30/03/2023			131	100000		600000	600000	0		posted						
1444	2023/3.1454-30	29/03/2023			758	50000	100000	1950000	1950000	0		posted						
